sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Thyonicola dogieli	RO:0002444	parasite of		Cucumaria japonica	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:4030875	NE Pacific (?)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyonicola dogieli	RO:0002444	parasite of		Cucumaria miniata	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:4030875	NE Pacific (?)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyonicola dogieli	RO:0002444	parasite of		Cucumaria obunca	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:4030875	NE Pacific (?)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyonicola mortenseni	RO:0002444	parasite of		Thyone serrata	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:1545739	SE Indian Ocean (off Cape of Good Hope)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Triloborhynchus astropectenis	RO:0002444	parasite of		Astropecten irregularis	Pyloric caeca	GEONAMES:2649991	English Channel (Plymouth)	50	-1		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Triloborhynchus astropectenis	RO:0002444	parasite of		Astropecten irregularis	Pyloric caeca	GEONAMES:2960848	North Sea (Norwegian and Sweedish coasts)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Triloborhynchus psilastericola	RO:0002444	parasite of		Psilaster andromeda	Pyloric caeca, coelomic cavity (juvenile forms)	GEONAMES:2960848	North Sea (Oslo fjord)	55.3333	3		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Trochostilifer mortenseni	RO:0002444	parasite of		Prionocidaris australis	Galls in primary spines	GEONAMES:4030483	Tropical W Pacific (New Caledonia)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Tropiometricola sphaeroconchus	RO:0002444	parasite of		Tropiometra afra macrodiscus	Galls on arms	GEONAMES:2038684	Japan Sea (Honshu)	43.5	135.75		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Umagilla forkalensis	RO:0002444	parasite of		Holothuria forskali	Digestive tract	GEONAMES:2649991	English Channel (Plymouth)	50	-1		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
